filename,snr,gaussian,spacings,nu_max,error nu_max,delta nu,error delta nu,mass guess,mass error,radius guess,radius error
spectrum_23_cams24_vmag7.46.pow,TRUE,,,3427.229,144.68,,,,,,
spectrum_23_cams24_vmag8.56.pow,TRUE,,,3434.356,133.67,,,,,,
spectrum_23_cams24_vmag8.82.pow,MAYBE,,,,,,,,,,
spectrum_23_cams24_vmag9.22.pow,MAYBE,,,,,,,,,,
spectrum_24_cams24_vmag8.79.pow,TRUE,,,2406.393,549.305,,,,,,
spectrum_24_cams24_vmag9.36.pow,FALSE,,,,,,,,,,
spectrum_24_cams24_vmag9.85.pow,FALSE,,,,,,,,,,
spectrum_24_cams24_vmag9.98.pow,FALSE,,,,,,,,,,
spectrum_24_cams24_vmag10.08.pow,FALSE,,,,,,,,,,
spectrum_24_cams24_vmag10.27.pow,FALSE,,,,,,,,,,
